transaction_id,datetime,item,category,qty,unit_price_ils,total_ils,payment_method,card_brand,employee,tip_ils,customer_id,order_type
SQ-20260001,2026-01-01 07:31:00,Cold Brew,Coffee,1,20.00,20.00,Google Pay,,Yael,1.00,,Takeaway
SQ-20260002,2026-01-01 20:51:00,Muffin Blueberry,Pastry,1,14.00,14.00,Credit Card,Amex,Shira,0.00,,Takeaway
SQ-20260003,2026-01-02 09:55:00,Veggie Wrap,Sandwich,1,36.00,36.00,Credit Card,Visa,Shira,4.32,,Dine-in
SQ-20260004,2026-01-02 22:15:00,Cold Brew,Coffee,1,20.00,20.00,Bit,,Yael,1.00,,Takeaway
SQ-20260005,2026-01-03 11:15:00,Fresh OJ,Drink,3,18.00,54.00,Bit,,Yael,0.00,CUST-1276,Dine-in
SQ-20260006,2026-01-04 00:05:00,Beer (Tap),Drink,2,28.00,56.00,Cash,,Yael,0.00,,Takeaway
SQ-20260007,2026-01-04 13:13:00,Fresh OJ,Drink,1,18.00,18.00,Credit Card,Visa,Shira,0.00,,Dine-in
SQ-20260008,2026-01-05 02:59:00,Caesar Salad,Salad,2,46.00,92.00,Cash,,Shira,0.00,,Takeaway
SQ-20260009,2026-01-05 15:42:00,Halloumi Sandwich,Sandwich,1,38.00,38.00,Cash,,Tomer,0.00,,Dine-in
SQ-20260010,2026-01-06 04:37:00,Veggie Wrap,Sandwich,1,36.00,36.00,Bit,,Ruby,0.00,,Takeaway
SQ-20260011,2026-01-06 17:58:00,Fresh OJ,Drink,1,18.00,18.00,Credit Card,Isracard,Ruby,0.00,CUST-1034,Dine-in
SQ-20260012,2026-01-07 06:25:00,Hafuch,Coffee,3,16.00,48.00,Google Pay,,Yael,4.80,,Takeaway
SQ-20260013,2026-01-07 19:05:00,Muffin Blueberry,Pastry,2,14.00,28.00,Google Pay,,Yael,0.00,,Dine-in
SQ-20260014,2026-01-08 08:42:00,Halloumi Sandwich,Sandwich,1,38.00,38.00,Cash,,Shira,0.00,CUST-1330,Dine-in
SQ-20260015,2026-01-08 21:29:00,Croissant Chocolate,Pastry,3,16.00,48.00,Credit Card,Visa,Shira,4.80,,Dine-in
SQ-20260016,2026-01-09 10:04:00,Avocado Toast,Breakfast,1,42.00,42.00,Cash,,Yael,0.00,,Dine-in
SQ-20260017,2026-01-09 23:56:00,Iced Latte,Coffee,1,20.00,20.00,Credit Card,Mastercard,Yael,2.40,,Takeaway
SQ-20260018,2026-01-10 12:00:00,Cheese Sandwich,Sandwich,2,32.00,64.00,Cash,,Tomer,0.00,CUST-1068,Dine-in
SQ-20260019,2026-01-11 01:07:00,Lemonade,Drink,1,14.00,14.00,Apple Pay,,Yael,0.00,,Dine-in
SQ-20260020,2026-01-11 14:45:00,Croissant Chocolate,Pastry,1,16.00,16.00,Cash,,Yael,0.00,,Dine-in
SQ-20260021,2026-01-12 03:05:00,Tuna Sandwich,Sandwich,1,36.00,36.00,Cash,,Ruby,0.00,CUST-1066,Dine-in
SQ-20260022,2026-01-12 16:10:00,Veggie Wrap,Sandwich,1,36.00,36.00,Bit,,Yael,0.00,CUST-1076,Takeaway
SQ-20260023,2026-01-13 05:02:00,Water Bottle,Drink,1,8.00,8.00,Apple Pay,,Yael,0.40,CUST-1157,Dine-in
SQ-20260024,2026-01-13 18:57:00,Beer (Tap),Drink,2,28.00,56.00,Credit Card,Mastercard,Yael,6.72,,Dine-in
