supplier,location,roast_style,price_per_kg_nis,minimum_order_kg,delivery_time_days,quality_consistency,relationship_quality,single_origin_options,direct_trade,interview_date,decision,notes
Nine Grams,Tel Aviv,medium-light specialty,112,5,3,excellent,good,extensive,yes,2024-03,current main supplier,"הספק הנוכחי שלנו לבלנד. עקבי, גבוה, אבל יקר. מעלים מחירים."
Cafelix,Tel Aviv,medium-light specialty,125,3,2,excellent,fair,extensive,yes,2024-05,backup/seasonal,"אנחנו לוקחים מהם single-origin מתחלפים. רמה מצוינת. הברמן הראשי קצת חמוץ."
Roasters Café (Guy),Rishon LeZion,medium-dark traditional,89,3,5,very good,excellent,limited,no,2024-08,not chosen,"גיא נהדר. הקפה טוב אבל הסגנון פחות מתאים לקהל שלנו. אולי לאספרסו מסורתי בעתיד."
Marco Specialty,Haifa,light to extra-light,135,5,7,good,fair,medium,yes,2025-01,not chosen,"קפה מצוין. שירות איטי. רחוקים. לא משתלם לכמויות שלנו."
Mojo Coffee (Jerusalem),Jerusalem,medium specialty,108,3,4,good,good,medium,partially,2025-03,under review,"מעניין. ביקרתי בקלייה. צריך לבדוק טווח מחירים בעוד שיחה."
Speciality Israel (importer),import direct,green beans,75-95 (raw),20 (raw),14,N/A,N/A,extensive,yes,2025-06,not relevant yet,"רק רלוונטי אם נכנסים לקלייה. רחוק מהיום-יום."
Coffee Roastery Berlin (DE),Germany,light,160 (incl. shipping),5,10-14,excellent,good,extensive,yes,2024-12,not chosen,"בדקתי לסבב שלם של single-origin. יקר מדי. הצמרת אבל לא ריאלי."
Aroma Roasters,Tel Aviv,medium,72,5,2,fair,good,limited,no,2024-09,not chosen,"זול. סולידי. לא רמה של specialty באמת. לא בכיוון שלנו."
Lulu Coffee,Tel Aviv,medium,95,3,3,good,good,medium,partially,2025-02,under review,"חדשים יחסית. ראיינתי את הקלאי. רציני. שווה מבחן מקיף."
Beanism Roasters,Tel Aviv,light specialty,118,3,3,very good,good,extensive,yes,2025-04,under review,"רמה גבוהה. שירות מצוין. אופציה רצינית להחליף או להוסיף."
Coffeemania,Petah Tikva,medium-dark,68,5,2,fair,fair,minimal,no,2024-10,rejected,"גנרי. לא מתאים. בדקתי כי הם זולים אבל זה לא הקטע."
Tim Wendelboe (NO),Norway,extra-light,200+,5,21,excellent,N/A,extensive,yes,N/A,fantasy,"חלום. אולי פעם בשנה לסבב מיוחד. לא ספק שוטף."
The Barn (DE),Germany,light to medium-light,170+,5,10,excellent,N/A,extensive,yes,N/A,fantasy,"גם חלום. ראיתי שמייצאים. נסיון נקודתי בלבד."
