customer_id,date,staff_member,what_happened,outcome
C0188,2025-01-05,מאיה,סיפר/ה שעבר/ה לעבוד מהבית וזה הופך לבית שני,לא חזרה
C0086,2025-01-05,טל המנהל,"ביקש/ה להזמין שולחן ל-6 לסופ""ש",לא חזרה
C0026,2025-01-07,אביץ,הזמינ/ה קייטרינג לאירוע במשרד,הופנה לטל
C0107,2025-01-14,אביץ,התעניינ/ה אם אפשר לקנות פולים לבית,הוצע פתרון
C0156,2025-01-21,ליאל,התעניינ/ה אם אפשר לקנות פולים לבית,הזמנה תועדה ביומן
C0199,2025-01-21,טל המנהל,סיפר/ה שזה הקפה היחיד שהיא שותה השבוע,חזרנו אליה למחרת
C0091,2025-01-24,שני,ביקש/ה לחגוג יום הולדת במקום,לא חזרה
C0025,2025-01-25,אביץ,התלונן/ה על הרעש משולחן ליד,לא נדרש פעולה
C0119,2025-02-10,יואב,ביקש/ה לשמור לה את השולחן הקבוע,הופנה לטל
C0003,2025-02-11,יואב,ביקש/ה תפריט טבעוני נפרד,לא חזרה
C0146,2025-02-23,יואב,ביקש/ה להחזיר כרטיס נאמנות שאבד,תועד למפגש צוות
C0001,2025-02-26,טל המנהל,ביקש/ה להחזיר כרטיס נאמנות שאבד,לא חזרה
C0010,2025-02-28,טל המנהל,התלונן/ה על הרעש משולחן ליד,תועד למפגש צוות
C0103,2025-03-02,יואב,הביא/ה ידיד חדש להכיר את המקום,תוקן
C0129,2025-03-12,עומר,ביקש/ה תפריט טבעוני נפרד,לא נדרש פעולה
C0118,2025-03-18,שני,הזמינ/ה קייטרינג לאירוע במשרד,שלחנו לה תפריט במייל
C0007,2025-03-26,טל המנהל,התלונן/ה שהאינטרנט נפל באמצע זום,הוספנו אופציה לחלב שקדים
C0119,2025-03-26,שני,התעניינ/ה אם אפשר לקנות פולים לבית,חזרנו אליה למחרת
C0197,2025-03-29,מאיה,הציע/ה רעיון לאירוע ספרים בערב,תועד למפגש צוות
C0151,2025-04-03,מאיה,התלונן/ה על הרעש משולחן ליד,תועד למפגש צוות
C0041,2025-04-04,שני,התלונן/ה שהאינטרנט נפל באמצע זום,לא נדרש פעולה
C0107,2025-04-10,ליאל,התלונן/ה על הרעש משולחן ליד,תוקן
C0139,2025-04-13,אביץ,הציע/ה רעיון לאירוע ספרים בערב,הוספנו אופציה לחלב שקדים
C0133,2025-04-14,מאיה,סיפר/ה שעבר/ה לעבוד מהבית וזה הופך לבית שני,הוצע פתרון
C0047,2025-04-25,אביץ,סיפר/ה שזה הקפה היחיד שהיא שותה השבוע,לא נדרש פעולה
C0107,2025-04-25,אביץ,"ביקש/ה להזמין שולחן ל-6 לסופ""ש",הזמנה תועדה ביומן
C0193,2025-05-11,טל המנהל,"סיפר/ה על ביקור משפחה מחו""ל",סגרנו אירוע
C0007,2025-05-12,אביץ,הביא/ה תינוק חדש להראות,תועד למפגש צוות
C0074,2025-05-13,אביץ,"סיפר/ה על ביקור משפחה מחו""ל",הופנה לטל
C0017,2025-05-16,יואב,הביא/ה ידיד חדש להכיר את המקום,שלחנו לה תפריט במייל
C0184,2025-05-18,אביץ,סיפר/ה שהמליצ/ה לחברים מהעבודה,חזרנו אליה למחרת
C0099,2025-05-20,טל המנהל,התלונן/ה שהאינטרנט נפל באמצע זום,עדיין בבירור
C0097,2025-05-21,עומר,סיפר/ה על שינוי בעבודה / מעבר דירה,סגרנו אירוע
C0086,2025-06-02,מאיה,ביקש/ה לשמור לה את השולחן הקבוע,עדיין בבירור
C0042,2025-06-09,עומר,התלונן/ה על הרעש משולחן ליד,לא נדרש פעולה
C0001,2025-06-10,אביץ,הביא/ה ידיד חדש להכיר את המקום,הוספנו אופציה לחלב שקדים
C0112,2025-06-19,עומר,שאל/ה אם יש אפשרות לחלב שקדים בעוגות,הוספנו אופציה לחלב שקדים
C0139,2025-06-19,מאיה,הביא/ה ידיד חדש להכיר את המקום,הצענו 10% הנחה לחבר חדש
C0017,2025-06-25,אביץ,הביא/ה תינוק חדש להראות,לא חזרה
C0086,2025-06-25,יואב,הציע/ה רעיון לאירוע ספרים בערב,הופנה לטל
C0060,2025-07-03,ליאל,שאל/ה אם יש אפשרות לחלב שקדים בעוגות,תוקן
C0035,2025-07-10,מאיה,ביקש/ה להחזיר כרטיס נאמנות שאבד,הוצע פתרון
C0093,2025-07-14,שני,"סיפר/ה על ביקור משפחה מחו""ל",הוצע פתרון
C0187,2025-08-03,יואב,התלונן/ה שהאינטרנט נפל באמצע זום,עדיין בבירור
C0110,2025-08-04,אביץ,סיפר/ה על שינוי בעבודה / מעבר דירה,שלחנו לה תפריט במייל
C0026,2025-08-07,אביץ,התלונן/ה על הרעש משולחן ליד,שלחנו לה תפריט במייל
C0180,2025-08-11,אביץ,סיפר/ה שעבר/ה לעבוד מהבית וזה הופך לבית שני,לא נדרש פעולה
C0159,2025-08-18,שני,התעניינ/ה אם אפשר לקנות פולים לבית,תועד למפגש צוות
C0157,2025-08-23,עומר,ביקש/ה תפריט טבעוני נפרד,תוקן
C0085,2025-09-02,יואב,שאל/ה אם יש אפשרות לחלב שקדים בעוגות,הוספנו אופציה לחלב שקדים
C0078,2025-09-05,יואב,התלונן/ה על הרעש משולחן ליד,לא נדרש פעולה
C0146,2025-09-08,טל המנהל,סיפר/ה שהמליצ/ה לחברים מהעבודה,טופל - הוזז שולחן
C0144,2025-09-16,טל המנהל,התעניינ/ה אם אפשר לקנות פולים לבית,תוקן
C0049,2025-09-17,מאיה,סיפר/ה על שינוי בעבודה / מעבר דירה,תוקן
C0019,2025-09-19,אביץ,התלהב/ה ממוזיקת הרקע ושאל/ה מה הפלייליסט,שלחנו לה תפריט במייל
C0061,2025-09-29,מאיה,סיפר/ה שעבר/ה לעבוד מהבית וזה הופך לבית שני,הוספנו אופציה לחלב שקדים
C0030,2025-09-29,עומר,שאל/ה אם יש אפשרות לחלב שקדים בעוגות,לא חזרה
C0095,2025-10-09,אביץ,התלונן/ה שהאינטרנט נפל באמצע זום,לא נדרש פעולה
C0161,2025-10-17,עומר,ביקש/ה תפריט טבעוני נפרד,הצענו 10% הנחה לחבר חדש
C0065,2025-10-26,אביץ,ביקש/ה להחזיר כרטיס נאמנות שאבד,תוקן
C0190,2025-10-26,ליאל,התלהב/ה ממוזיקת הרקע ושאל/ה מה הפלייליסט,שלחנו לה תפריט במייל
